index,province,district,place_name,category,municipality_or_area,priority,research_status,notes
21,Madhesh Province,Dhanusha,Dhanush Sagar,Lakes and wetlands,Janakpurdham,To prioritize,Master inventory researched,
22,Madhesh Province,Dhanusha,Ganga Sagar,Lakes and wetlands,Janakpurdham,To prioritize,Master inventory researched,
23,Madhesh Province,Dhanusha,Ratna Sagar and other sacred ponds,Lakes and wetlands,Janakpurdham,To prioritize,Master inventory researched,
24,Madhesh Province,Dhanusha,Vivah Mandap,"Museums, palaces, forts, and monuments",Janaki Mandir complex,To prioritize,Master inventory researched,
25,Madhesh Province,Dhanusha,Dhanushadham Protected Forest,"National parks, conservation areas, and wildlife sites",Dhanushadham area,To prioritize,Master inventory researched,
26,Madhesh Province,Dhanusha,Mithila Art and cultural quarters,Historical and cultural places,Janakpurdham,To prioritize,Master inventory researched,
27,Madhesh Province,Dhanusha,Kamala River,Rivers and waterfalls,Eastern Dhanusha,To prioritize,Master inventory researched,
28,Madhesh Province,Mahottari,Jaleshwar Mahadev Temple,Religious sites and temples,Jaleshwar Municipality,To prioritize,Master inventory researched,
29,Madhesh Province,Mahottari,Matihani Temple and Sanskrit heritage area,Religious sites and temples,Matihani Municipality,To prioritize,Master inventory researched,
30,Madhesh Province,Mahottari,Raimandal religious site,Religious sites and temples,Mahottari district,To prioritize,Master inventory researched,Local-area verification recommended.
31,Madhesh Province,Mahottari,Mithila Parikrama route sites,Religious sites and temples,Various southern and central localities,To prioritize,Master inventory researched,Cross-district pilgrimage circuit.
32,Madhesh Province,Mahottari,Tuteshwar Nath Mahadev,Religious sites and temples,Bardibas region,To prioritize,Master inventory researched,
33,Madhesh Province,Mahottari,Bardibas Chure foothills,Natural attractions,Bardibas Municipality,To prioritize,Master inventory researched,
34,Madhesh Province,Mahottari,Gaushala forest and wetland belt,Natural attractions,Gaushala Municipality,To prioritize,Master inventory researched,
35,Madhesh Province,Mahottari,Ratu River corridor,Rivers and waterfalls,Central Mahottari,To prioritize,Master inventory researched,
36,Madhesh Province,Sarlahi,Nadhi Tal,Lakes and wetlands,Chandranagar Rural Municipality area,To prioritize,Master inventory researched,
37,Madhesh Province,Sarlahi,Bharat Tal,Lakes and wetlands,Bagmati Municipality,To prioritize,Master inventory researched,Large artificial lake and recreation destination.
38,Madhesh Province,Sarlahi,Nunthar religious and riverside area,Religious sites and temples,"Bagmati River, northern Sarlahi",To prioritize,Master inventory researched,
39,Madhesh Province,Sarlahi,Rajdevi Temple sites,Religious sites and temples,Malangawa area,To prioritize,Master inventory researched,
40,Madhesh Province,Sarlahi,Sagarnath Forest,"National parks, conservation areas, and wildlife sites",Ishwarpur-Lalbandi region,To prioritize,Master inventory researched,
41,Madhesh Province,Sarlahi,Bagmati River corridor,Rivers and waterfalls,Western/northern Sarlahi,To prioritize,Master inventory researched,
42,Madhesh Province,Sarlahi,Lakhandehi river landscape,Rivers and waterfalls,Central Sarlahi,To prioritize,Master inventory researched,
43,Madhesh Province,Sarlahi,Chure foothill viewpoints,Viewpoints and hill stations,Northern Lalbandi-Ishwarpur,To prioritize,Master inventory researched,
44,Madhesh Province,Rautahat,Nunthar riverside and pilgrimage area,Religious sites and temples,"Chandrapur area, Bagmati River",To prioritize,Master inventory researched,
45,Madhesh Province,Rautahat,"Rajdevi Temple, Gaur area",Religious sites and temples,Gaur Municipality,To prioritize,Master inventory researched,
46,Madhesh Province,Rautahat,Jungle Sahiya forest landscape,"National parks, conservation areas, and wildlife sites",Chandrapur region,To prioritize,Master inventory researched,
47,Madhesh Province,Rautahat,Gaur historical town core,Historical and cultural places,Gaur Municipality,To prioritize,Master inventory researched,
48,Madhesh Province,Rautahat,Bagmati River beaches,Rivers and waterfalls,Northern/western district,To prioritize,Master inventory researched,
49,Madhesh Province,Rautahat,Lal Bakaiya River corridor,Rivers and waterfalls,Central Rautahat,To prioritize,Master inventory researched,
50,Madhesh Province,Rautahat,Chure forest and hill belt,Natural attractions,Northern Rautahat,To prioritize,Master inventory researched,
51,Madhesh Province,Rautahat,Maraghar wetland areas,Lakes and wetlands,Local verification required,To prioritize,Master inventory researched,Include after municipality-level verification.
52,Madhesh Province,Bara,Gadhimai Temple,Religious sites and temples,Mahagadhimai Municipality,To prioritize,Master inventory researched,
53,Madhesh Province,Bara,"Kankali Temple, Simraungadh",Religious sites and temples,Simraungadh,To prioritize,Master inventory researched,
54,Madhesh Province,Bara,Simraungadh archaeological and palace area,Historical and cultural places,Simraungadh Municipality,To prioritize,Master inventory researched,
55,Madhesh Province,Bara,Parsa National Park sector,"National parks, conservation areas, and wildlife sites",Northern Bara,To prioritize,Master inventory researched,Cross-district national park.
56,Madhesh Province,Bara,Nijgadh forest landscape,"National parks, conservation areas, and wildlife sites",Nijgadh Municipality,To prioritize,Master inventory researched,
57,Madhesh Province,Bara,Halkhoria Daha,Lakes and wetlands,Northern Bara,To prioritize,Master inventory researched,
58,Madhesh Province,Bara,Chure forest viewpoints,Viewpoints and hill stations,Nijgadh-Kolhabi north,To prioritize,Master inventory researched,
59,Madhesh Province,Bara,Pasaha River corridor,Rivers and waterfalls,Bara district,To prioritize,Master inventory researched,
60,Madhesh Province,Bara,Dudhora River and forest belt,Rivers and waterfalls,Nijgadh area,To prioritize,Master inventory researched,
61,Madhesh Province,Parsa,Parsa National Park,"National parks, conservation areas, and wildlife sites",Northern Parsa and adjoining districts,To prioritize,Master inventory researched,
62,Madhesh Province,Parsa,Parsa forest safari areas,"National parks, conservation areas, and wildlife sites",Thori-Sakhuwa Prasauni belt,To prioritize,Master inventory researched,
63,Madhesh Province,Parsa,Birgunj Ghadiarwa Pokhari,Lakes and wetlands,Birgunj Metropolitan City,To prioritize,Master inventory researched,
64,Madhesh Province,Parsa,Gahawa Mai Temple,Religious sites and temples,Birgunj,To prioritize,Master inventory researched,
65,Madhesh Province,Parsa,"Bindabasini Temple, Birgunj area",Religious sites and temples,Birgunj,To prioritize,Master inventory researched,
66,Madhesh Province,Parsa,Shankaracharya Gate,"Museums, palaces, forts, and monuments",Birgunj border,To prioritize,Master inventory researched,
67,Madhesh Province,Parsa,Thori hill and forest gateway,Lesser-known or emerging destinations,Thori Rural Municipality,To prioritize,Master inventory researched,
68,Madhesh Province,Parsa,Sikta and Oriya river corridors,Rivers and waterfalls,Western Parsa,To prioritize,Master inventory researched,
69,Madhesh Province,Parsa,Alau historical area,Historical and cultural places,Birgunj-Alau,To prioritize,Master inventory researched,
