id,province,district,name,category,municipality_or_area,priority,research_status,geometry_type,source_routing_status,access_status,permit_layers,parent_entity_id,visitor_ready_label,match_method,permit_entry_text,how_to_visit,canonical_source_file,visitor_ready_source_file
np-bagmati-chitwan-sauraha,Bagmati,Chitwan,Sauraha,Major tourist attractions,Ratnanagar Municipality,,,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,PROTECTED_AREA_ENTRY;BORDER_CONTROL;ENTRY_FEE;DYNAMIC,,Sauraha,exact,Town Entry: no; Park Entry: required only when entering Chitwan National Park or regulated park activities,"From Bharatpur Narayangarh: Travel east by road to Tandi/Ratnanagar and continue to Sauraha; local bus, taxi and tourist transfer are normal options.; From Kathmandu: Tourist buses commonly run to the Chitwan/Sauraha area; flights reach Bharatpur, then road transfer to Sauraha.",provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-beeshazar-and-associated-lakes,Bagmati,Chitwan,Beeshazar and Associated Lakes,Lakes and wetlands,Bharatpur Metropolitan City,,,WATER,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,PROTECTED_AREA_ENTRY;ENTRY_FEE;DYNAMIC,,Beeshazar and Associated Lakes,exact,Restricted Area Trekking Permit: no; Local Access Or Buffer Zone Fee: dynamic; Note: Use current local access rules; Ramsar reference coordinate is not an entrance.,"From Bharatpur: Approach the Barandabhar/Beeshazar visitor side from Bharatpur by local road; route to a verified access point, not the Ramsar centre.; From Sauraha: Road transfer west/northwest toward the Barandabhar-Beeshazar access area.",provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-narayani-river-waterfront,Bagmati,Chitwan,Narayani River waterfront,Rivers and waterfalls,Bharatpur and western Chitwan,,,CORRIDOR,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,OPERATOR_DEPENDENT;DYNAMIC,,"Narayani River waterfront, Bharatpur-Narayangarh",fuzzy,Special Permit: no; Boating Or Water Transport: dynamic_local_regulation,From Bharatpur Narayangarh: Reach the riverfront directly by local road/taxi/walk depending on the chosen ghat or promenade area.,provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-rapti-river-wildlife-corridor,Bagmati,Chitwan,Rapti River wildlife corridor,Rivers and waterfalls,Sauraha and park boundary,,,CORRIDOR,routing_hold,ROUTING_HOLD,NONE,,,,,,provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-jalbire-waterfall,Bagmati,Chitwan,Jalbire Waterfall,Rivers and waterfalls,Ichchhakamana Rural Municipality,,,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,OPERATOR_DEPENDENT;DYNAMIC,,Jalbire Waterfall,exact,Special Trekking Permit: no; Canyoning Fee Or Operator Permission: dynamic,From Narayangarh: Travel toward the Narayangarh-Muglin corridor and turn toward Jalbire/Ichchhakamana local access; final road/walk section must be checked against current local conditions.,provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-devghat,Bagmati,Chitwan,Devghat,Religious sites and temples,Bharatpur/Devghat confluence area,,,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,ENTRY_FEE;DYNAMIC,,Devghat,exact,Special Permit: no; Temple Or Event Fees: dynamic_if_any,"From Bharatpur Narayangarh: About 6 km north of Bharatpur; travel by local road/taxi/bus toward Devghat, then choose the Chitwan-side or Tanahun-side temple/ghat access.",provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-balmiki-ashram-approach,Bagmati,Chitwan,Balmiki Ashram approach,Religious sites and temples,Madi/park southern sector,,,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,PROTECTED_AREA_ENTRY;BORDER_CONTROL;DYNAMIC,,Balmiki Ashram,fuzzy,Special Immigration Permit: no; Park Or Border Access: dynamic; Note: Access crosses a sensitive park/border landscape; verify current route before publishing turn-by-turn navigation.,From Madi: Use the current locally recognized Nepal-side access route toward the Balmiki/Tribeni landscape; final access should be confirmed with Madi/park authorities before travel.,provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-chepang-hill-trail,Bagmati,Chitwan,Chepang Hill Trail,Trekking areas and mountain destinations,Northern Chitwan,,,ROUTE,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,BORDER_CONTROL;DYNAMIC,,Chitwan Chepang Hill Trail,exact,Restricted Area Permit: no; Immigration Special Trekking Permit: no; Homestay And Local Services: dynamic; Note: The Department of Immigration restricted-area list does not include this trail.,"From Bharatpur Narayangarh: Road transfer to Shaktikhor, then begin the walking route north toward the hill settlements.; From Kathmandu: NTB identifies Hugdi on the Kathmandu-Chitwan highway as the opposite trailhead; trek can run Hugdi-to-Shaktikhor or reverse.",provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-siraichuli-viewpoint,Bagmati,Chitwan,Siraichuli viewpoint,Viewpoints and hill stations,Ichchhakamana Rural Municipality,,,POINT,routing_hold,ROUTING_HOLD,NONE,,,,,,provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-upper-dang-gadhi,Bagmati,Chitwan,Upper Dang Gadhi,"Museums, palaces, forts, and monuments",Northern Chitwan,,,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,ENTRY_FEE;DYNAMIC,,Uppardang Gadi,exact,Special Permit: no; Local Entry Or Maintenance Fee: dynamic_if_any,From Shaktikhor: Reach as part of the northern hill-road/trek network; use local current road/trail guidance rather than a straight-line route.,provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-meghauli-wildlife-tourism-area,Bagmati,Chitwan,Meghauli wildlife tourism area,Community tourism and notable villages,Bharatpur western sector,,,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,PROTECTED_AREA_ENTRY;ENTRY_FEE;DYNAMIC,,Meghauli,fuzzy,Area Entry: no; Park Entry: required when entering Chitwan National Park through Bhimle/Meghauli gateway; Community Forest Rules: dynamic,"From Bharatpur: Travel west by road toward Meghauli; continue to the exact lodge, community forest, Golaghat or Bhimle gateway depending on activity.; From Sauraha: Road transfer via Bharatpur/central Chitwan; treat as a separate western tourism base rather than a quick walk-in extension of Sauraha.",provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-chitwan-madi-valley-and-someshwar-hills,Bagmati,Chitwan,Madi valley and Someshwar hills,Natural attractions,Madi Municipality,,,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,PROTECTED_AREA_ENTRY;ENTRY_FEE;DYNAMIC,,Madi Valley,fuzzy,Valley Entry: no; Protected Forest Or Park Activity: separate current rules may apply; Individual Sites: dynamic,From Bharatpur: Travel south through the established Madi road corridor; road and park-edge conditions should be checked seasonally.; From Sauraha: Road transfer via central Chitwan/Bharatpur side; Madi is a separate excursion base rather than part of Sauraha's walkable tourism zone.,provinces/bagmati/districts/chitwan.md,provinces/bagmati/visitor_ready/chitwan.yaml
np-bagmati-dhading-ruby-valley-trekking-region,Bagmati,Dhading,Ruby Valley trekking region,Trekking areas and mountain destinations,Ruby Valley Rural Municipality,Major,Established,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Ruby Valley trekking region,exact,Special Restricted Permit: no; Local Entry Fee: dynamic; Note: Check current TIMS/guide rules for the exact route before departure.,"From Kathmandu: Travel by road toward Dhading Besi and then continue by local jeep/4WD toward northern trail gateways such as Jharlang, Darkha, Borang or the Somdang side depending on itinerary.; Final Access: Large parts are trail-based; road reach and condition vary seasonally.; Route Condition: dynamic",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-ganesh-himal-trekking-region,Bagmati,Dhading,Ganesh Himal trekking region,Trekking areas and mountain destinations,Ruby Valley and northern Dhading,Major,Established,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Ganesh Himal trekking region,exact,Special Restricted Permit: no; Note: Some route variants may approach Rasuwa/Langtang-side checkpoints; apply the current rule of the area actually entered.,From Main Hub: Dhading Besi or Rasuwa-side road access depending on route; Final Access: multi-day trail; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-pangsang-pass,Bagmati,Dhading,Pangsang Pass,Viewpoints and hill stations,Ruby Valley trekking region,Major,Established,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Pangsang Pass / Pangsang Kharka,exact,Special Local Permit: no; Note: High-altitude trekking rules and any current guide/TIMS requirements are itinerary-dependent.,From Main Hub: Usually reached on foot from Somdang or adjoining trekking stages; Final Access: steep high-altitude trail; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-somdang-village,Bagmati,Dhading,Somdang Village,Community tourism and notable villages,Ruby Valley Rural Municipality,High,Established,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Somdang Village,exact,Special Permit: no; Accommodation Status: dynamic,"From Kathmandu: Road/jeep approach via northern Dhading or Rasuwa-side route depending on current access, then continue locally toward Somdang.; Final Access: road-plus-trail depending on season; Route Condition: dynamic",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-tipling-village,Bagmati,Dhading,Tipling Village,Community tourism and notable villages,Ruby Valley Rural Municipality,High,Established,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Tipling Village,exact,Special Permit: no; Homestay Status: dynamic,"From Dhading Besi: Continue north by local jeep toward Ruby Valley route settlements, then use village roads/trails to Tipling.; Final Access: road/trail mix; Route Condition: dynamic",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-sertung-village,Bagmati,Dhading,Sertung Village,Community tourism and notable villages,Ruby Valley Rural Municipality,High,Established,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Sertung Village,exact,Special Permit: no; Homestay Status: dynamic,"From Dhading Besi: Use northern Dhading local-road connections toward Ruby Valley, then continue by jeep or trail according to road condition.; Route Condition: dynamic",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-chalish-village,Bagmati,Dhading,Chalish Village,Community tourism and notable villages,Ruby Valley Rural Municipality,High,Established,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Chalish Village,exact,Special Permit: no; Homestay Status: dynamic,From Dhading Besi: Travel toward Sertung/Ruby Valley route and continue locally to Chalish; final approach may involve walking.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-borang-village,Bagmati,Dhading,Borang Village,Community tourism and notable villages,Ruby Valley Rural Municipality,High,First-round researched,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Borang Village,exact,Special Permit: no; Visitor Facilities: dynamic,From Dhading Besi: Use northern local roads toward Ruby Valley; 4WD may be preferable and road condition must be checked.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-lapa-village,Bagmati,Dhading,Lapa Village,Community tourism and notable villages,Ruby Valley Rural Municipality,High,First-round researched,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Lapa Village,exact,Special Permit: no; Visitor Facilities: dynamic,"From Dhading Besi: Continue by local jeep toward northern villages, then use local road/trail to Lapa.; Route Condition: dynamic",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-jharlang-village,Bagmati,Dhading,Jharlang Village,Community tourism and notable villages,Khaniyabas Rural Municipality,High,Established,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Jharlang Village,exact,Special Permit: no; Lodging Status: dynamic,From Dhading Besi: Local bus/jeep north via district roads; travel time and road condition vary strongly by season.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-darkha-village,Bagmati,Dhading,Darkha Village,Community tourism and notable villages,Khaniyabas Rural Municipality,High,First-round researched,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Darkha Village,exact,Special Permit: no,From Dhading Besi: Travel by local road/jeep toward Khaniyabas and Darkha.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-ganga-jamuna-waterfall,Bagmati,Dhading,Ganga Jamuna Waterfall,Rivers and waterfalls,Ganga Jamuna Rural Municipality,Major,Established,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Ganga Jamuna Waterfall,exact,Special Permit: no; Current Local Fee: dynamic,"From Dhading Besi: Travel toward Phulkharka/Ganga Jamuna Rural Municipality; the municipality is about 54 km from the district headquarters, then continue locally toward the waterfall approach.; Final Access: short walk/trail may be required depending on road end.; Route Condition: dynamic",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-ganga-jamuna-pilgrimage-area,Bagmati,Dhading,Ganga Jamuna pilgrimage area,Religious sites and temples,Ganga Jamuna Rural Municipality,Major,Established,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Ganga Jamuna pilgrimage area,exact,Special Permit: no; Festival Rules: dynamic,From Main Hub: Same approach as Ganga Jamuna Waterfall via Phulkharka/Ganga Jamuna Rural Municipality.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-tripurasundari-mai-temple,Bagmati,Dhading,Tripurasundari Mai Temple,Religious sites and temples,Tripurasundari Rural Municipality,Major,Established,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,ENTRY_FEE;DYNAMIC,,Tripurasundari Mai Temple,exact,Special Permit: no; Donation Or Local Fee: dynamic,From Dhading Besi: Travel west/northwest by local road toward Tripurasundari Rural Municipality and the temple area.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-salyantar-plateau,Bagmati,Dhading,Salyantar Plateau,Viewpoints and hill stations,Tripurasundari Rural Municipality,Major,Established,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Salyantar Plateau,exact,Special Permit: no,From Dhading Besi: Use local road toward Salyantar/Tripurasundari area.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-narsingha-dham,Bagmati,Dhading,Narsingha Dham,Religious sites and temples,"Salyantar, Tripurasundari Rural Municipality",High,Established,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Narsingha Dham,exact,Special Permit: no; Local Fee Or Donation: dynamic,"From Main Hub: Reach Salyantar first, then continue locally to the religious complex.; Route Condition: dynamic",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-budhi-gandaki-river-valley,Bagmati,Dhading,Budhi Gandaki River valley,Natural attractions,Western Dhading along the Gorkha boundary,Major,Established,CORRIDOR,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Budhi Gandaki River valley - Dhading side,fuzzy,Special Permit: no; Note: Any project/construction-zone restrictions are dynamic.,From Dhading Besi: Use western district roads toward Salyantar/Tripurasundari and riverside settlements.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-ankhu-khola-valley,Bagmati,Dhading,Ankhu Khola valley,Rivers and waterfalls,Central and northern Dhading,High,Established,CORRIDOR,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Ankhu Khola valley,exact,Special Permit: no,From Dhading Besi: Follow northern local-road networks toward Khaniyabas/Ruby Valley areas.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-trishuli-river-rafting-corridor,Bagmati,Dhading,Trishuli River rafting corridor,Rivers and waterfalls,Gajuri and Benighat Rorang rural municipalities,Major,Established,CORRIDOR,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,OPERATOR_DEPENDENT;ENTRY_FEE;DYNAMIC,,Trishuli River rafting corridor - Dhading sector,fuzzy,Visitor Special Permit: no; Operator Booking: required_for_guided_rafting; Fees: dynamic,"From Kathmandu: Drive west on the Prithvi Highway toward launch areas around Fishling, Charaundi, Benighat or nearby operator-selected points.; Final Access: Exact launch and take-out are operator-specific.",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-benighat-river-gateway,Bagmati,Dhading,Benighat river gateway,Major tourist attractions,Benighat Rorang Rural Municipality,High,Established,AREA,routable,ROUTABLE,OPERATOR_DEPENDENT,,Benighat river gateway,exact,Special Permit: no,From Kathmandu: Direct road access west along the Prithvi Highway.,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-malekhu-river-and-bazaar-area,Bagmati,Dhading,Malekhu river and bazaar area,Major tourist attractions,Gajuri Rural Municipality,High,Established,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Malekhu river and bazaar area,exact,Special Permit: no,From Kathmandu: Direct by bus or private vehicle on the Prithvi Highway.; Road Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-chitwan-chepang-hill-trail-dhading-sector,Bagmati,Dhading,Chitwan Chepang Hill Trail – Dhading sector,Trekking areas and mountain destinations,Hugdi / Benighat Rorang area,High,Established,ROUTE,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Chitwan Chepang Hill Trail - Dhading sector,exact,Restricted Area Permit: no; Current Guide Or Tims Rule: dynamic,"From Kathmandu: Travel west on the Prithvi Highway toward the Hugdi/Benighat Rorang side, then join the trail at the current locally verified trailhead.; Final Access: trail",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-netrawati-dabjong-heritage-landscape,Bagmati,Dhading,Netrawati–Dabjong heritage landscape,Historical and cultural places,Netrawati Dabjong Rural Municipality,High,First-round researched,AREA,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Netrawati-Dabjong heritage landscape,exact,Special Permit: no,From Dhading Besi: Travel by local road toward Netrawati Dabjong Rural Municipality.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-dabjong-durbar-fort-area,Bagmati,Dhading,Dabjong Durbar / fort area,"Museums, palaces, forts, and monuments",Netrawati Dabjong Rural Municipality,High,Needs local verification,HOLD,routing_hold,ROUTING_HOLD,NONE,,Dabjong Durbar / fort area,exact,Status: unknown_local_access,Note: Route only to Netrawati-Dabjong area until the exact public site is verified.,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-jyamrung-durbar-area,Bagmati,Dhading,Jyamrung Durbar area,"Museums, palaces, forts, and monuments",Nilkantha Municipality,High,First-round researched,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Jyamrung Durbar area,exact,Special Permit: no; Public Access: dynamic,From Dhading Besi: Travel by local road toward Jyamrung; verify the final public approach locally.; Route Condition: dynamic,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-dhadingbesi,Bagmati,Dhading,Dhadingbesi,Major tourist attractions,Nilkantha Municipality,High,Established,POINT,routing_hold,ROUTING_HOLD,NONE,,,,,,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-bhairabi-temple-sunaula-bazar,Bagmati,Dhading,"Bhairabi Temple, Sunaula Bazar",Religious sites and temples,Jwalamukhi Rural Municipality,High,Established,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,ENTRY_FEE;DYNAMIC,,"Bhairabi Temple, Sunaula Bazar",exact,Special Permit: no; Donation Or Local Fee: dynamic,"From Dhading Besi: Use local road toward Jwalamukhi/Sunaula Bazar, then continue to the temple approach.; Route Condition: dynamic",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-maidi-kot-kot-devi-area,Bagmati,Dhading,Maidi Kot / Kot Devi area,Religious sites and temples,Jwalamukhi Rural Municipality,High,First-round researched,HOLD,routing_hold,ROUTING_HOLD,NONE,,Maidi Kot / Kot Devi area,exact,Status: unknown_local_access,Note: Route to the Maidi/Jwalamukhi area only until exact site verification.,provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-siddha-than,Bagmati,Dhading,Siddha Than,Religious sites and temples,Siddhalek Rural Municipality,High,Established,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Siddha Than,exact,Special Permit: no,"From Dhading Besi: Travel toward Siddhalek Rural Municipality, then continue by local road/trail to the shrine area.; Route Condition: dynamic",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
np-bagmati-dhading-siddhalek-ridge,Bagmati,Dhading,Siddhalek ridge,Viewpoints and hill stations,Siddhalek Rural Municipality,High,First-round researched,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,DYNAMIC,,Siddhalek ridge,exact,Special Permit: no,"From Dhading Besi: Use local road toward Siddhalek, then follow locally verified ridge access or walking routes.; Route Condition: dynamic",provinces/bagmati/districts/dhading.md,provinces/bagmati/visitor_ready/dhading.yaml
