index,province,district,place_name,category,municipality_or_area,priority,research_status,notes
28,Bagmati Province,Rasuwa,Gatlang village,Community tourism and notable villages,Parbatikunda/Aama Chhodingmo area,To prioritize,Master inventory researched,
29,Bagmati Province,Rasuwa,Tserko Ri,Viewpoints and hill stations,Kyanjin area,To prioritize,Master inventory researched,
30,Bagmati Province,Rasuwa,"Tatopani, Rasuwa",Natural attractions,Tamang Heritage Trail,To prioritize,Master inventory researched,
31,Bagmati Province,Rasuwa,Chilime and Bhote Koshi valleys,Natural attractions,Northern Rasuwa,To prioritize,Master inventory researched,
32,Bagmati Province,Rasuwa,Rasuwagadhi Fort,"Museums, palaces, forts, and monuments","Gosaikunda Rural Municipality, border area",To prioritize,Master inventory researched,
33,Bagmati Province,Dhading,Ganesh Himal trekking region,Trekking areas and mountain destinations,Northern Dhading,To prioritize,Master inventory researched,
34,Bagmati Province,Dhading,Ruby Valley,Trekking areas and mountain destinations,Ruby Valley Rural Municipality,To prioritize,Master inventory researched,
35,Bagmati Province,Dhading,Tripurasundari Temple,Religious sites and temples,Tripurasundari Rural Municipality,To prioritize,Master inventory researched,
36,Bagmati Province,Dhading,Ganga Jamuna Waterfall,Rivers and waterfalls,Ganga Jamuna Rural Municipality,To prioritize,Master inventory researched,
37,Bagmati Province,Dhading,Trishuli River rafting corridor,Rivers and waterfalls,Benighat-Rorang/Gajuri belt,To prioritize,Master inventory researched,
38,Bagmati Province,Dhading,Netrawati-Dabjong heritage landscape,Historical and cultural places,Netrawati Dabjong Rural Municipality,To prioritize,Master inventory researched,
39,Bagmati Province,Dhading,Budhi Gandaki valley,Natural attractions,Northern and western Dhading,To prioritize,Master inventory researched,
40,Bagmati Province,Dhading,Jyamrung Durbar area,"Museums, palaces, forts, and monuments",Nilkantha region,To prioritize,Master inventory researched,
41,Bagmati Province,Dhading,Salyantar plateau,Viewpoints and hill stations,Tripurasundari area,To prioritize,Master inventory researched,
42,Bagmati Province,Dhading,Jharlang and Darkha villages,Community tourism and notable villages,Ruby Valley approaches,To prioritize,Master inventory researched,
43,Bagmati Province,Nuwakot,Nuwakot Durbar complex,"Museums, palaces, forts, and monuments",Bidur Municipality,To prioritize,Master inventory researched,
44,Bagmati Province,Nuwakot,Saat Tale Durbar,"Museums, palaces, forts, and monuments",Nuwakot heritage area,To prioritize,Master inventory researched,
45,Bagmati Province,Nuwakot,"Bhairabi Temple, Nuwakot",Religious sites and temples,Nuwakot heritage area,To prioritize,Master inventory researched,
46,Bagmati Province,Nuwakot,Devighat,Religious sites and temples,Trishuli-Tadi confluence,To prioritize,Master inventory researched,
47,Bagmati Province,Nuwakot,Dupcheshwar Mahadev Temple,Religious sites and temples,Dupcheshwar Rural Municipality,To prioritize,Master inventory researched,
48,Bagmati Province,Nuwakot,Kakani,Viewpoints and hill stations,Kakani Rural Municipality,To prioritize,Master inventory researched,
49,Bagmati Province,Nuwakot,Suryachaur,Viewpoints and hill stations,Shivapuri area,To prioritize,Master inventory researched,
50,Bagmati Province,Nuwakot,Langtang National Park sector,"National parks, conservation areas, and wildlife sites",Eastern/northern Nuwakot,To prioritize,Master inventory researched,Cross-district park.
51,Bagmati Province,Nuwakot,Trishuli River rafting corridor,Rivers and waterfalls,Across district,To prioritize,Master inventory researched,
52,Bagmati Province,Nuwakot,Tadi River valley,Rivers and waterfalls,Central Nuwakot,To prioritize,Master inventory researched,
53,Bagmati Province,Nuwakot,Kispang and Ghale village landscapes,Community tourism and notable villages,Kispang Rural Municipality,To prioritize,Master inventory researched,
54,Bagmati Province,Kathmandu,Kathmandu Durbar Square,Historical and cultural places,Kathmandu Metropolitan City,To prioritize,Master inventory researched,
55,Bagmati Province,Kathmandu,Kirtipur heritage town,Historical and cultural places,Kirtipur Municipality,To prioritize,Master inventory researched,
56,Bagmati Province,Kathmandu,Swayambhunath,Religious sites and temples,Kathmandu Metropolitan City,To prioritize,Master inventory researched,
57,Bagmati Province,Kathmandu,Boudhanath Stupa,Religious sites and temples,Kathmandu Metropolitan City,To prioritize,Master inventory researched,
58,Bagmati Province,Kathmandu,Pashupatinath Temple,Religious sites and temples,Kathmandu Metropolitan City,To prioritize,Master inventory researched,
59,Bagmati Province,Kathmandu,Budhanilkantha Temple,Religious sites and temples,Budhanilkantha Municipality,To prioritize,Master inventory researched,
60,Bagmati Province,Kathmandu,Kapan Monastery,Religious sites and temples,Budhanilkantha Municipality,To prioritize,Master inventory researched,
61,Bagmati Province,Kathmandu,Pharping heritage and monastery circuit,Religious sites and temples,Dakshinkali Municipality,To prioritize,Master inventory researched,
62,Bagmati Province,Kathmandu,Dakshinkali Temple,Religious sites and temples,Dakshinkali Municipality,To prioritize,Master inventory researched,
63,Bagmati Province,Kathmandu,Chandragiri Hills,Viewpoints and hill stations,Chandragiri Municipality,To prioritize,Master inventory researched,
64,Bagmati Province,Kathmandu,Indra Daha and Dahachok,Viewpoints and hill stations,Chandragiri Municipality,To prioritize,Master inventory researched,
65,Bagmati Province,Kathmandu,Shivapuri-Nagarjun National Park,"National parks, conservation areas, and wildlife sites",Northern and western Kathmandu Valley,To prioritize,Master inventory researched,
66,Bagmati Province,Kathmandu,Nagarjun-Jamacho hike,Trekking areas and mountain destinations,Nagarjun forest,To prioritize,Master inventory researched,
67,Bagmati Province,Kathmandu,Sundarijal,Rivers and waterfalls,Gokarneshwar Municipality,To prioritize,Master inventory researched,
68,Bagmati Province,Kathmandu,Bagdwar,Rivers and waterfalls,Shivapuri ridge,To prioritize,Master inventory researched,Source area of the Bagmati River.
69,Bagmati Province,Kathmandu,Taudaha Lake,Lakes and wetlands,Kirtipur/Dakshinkali corridor,To prioritize,Master inventory researched,
70,Bagmati Province,Kathmandu,Gokarna forest and temple area,Natural attractions,Gokarneshwar Municipality,To prioritize,Master inventory researched,
71,Bagmati Province,Kathmandu,Narayanhiti Palace Museum,"Museums, palaces, forts, and monuments",Kathmandu,To prioritize,Master inventory researched,
72,Bagmati Province,Kathmandu,National Museum of Nepal,"Museums, palaces, forts, and monuments","Chhauni, Kathmandu",To prioritize,Master inventory researched,
73,Bagmati Province,Bhaktapur,Bhaktapur Durbar Square,Historical and cultural places,Bhaktapur Municipality,To prioritize,Master inventory researched,
74,Bagmati Province,Bhaktapur,Dattatreya Square,Historical and cultural places,Bhaktapur Municipality,To prioritize,Master inventory researched,
75,Bagmati Province,Bhaktapur,Thimi heritage town,Historical and cultural places,Madhyapur Thimi Municipality,To prioritize,Master inventory researched,
76,Bagmati Province,Bhaktapur,Bode and Nil Barahi cultural area,Historical and cultural places,Madhyapur Thimi,To prioritize,Master inventory researched,
77,Bagmati Province,Bhaktapur,Nyatapola Temple,Religious sites and temples,Taumadhi Square,To prioritize,Master inventory researched,
78,Bagmati Province,Bhaktapur,Changu Narayan Temple,Religious sites and temples,Changunarayan Municipality,To prioritize,Master inventory researched,
79,Bagmati Province,Bhaktapur,Kailashnath Mahadev Statue,Religious sites and temples,"Sanga, Suryabinayak Municipality",To prioritize,Master inventory researched,
80,Bagmati Province,Bhaktapur,Suryabinayak Temple,Religious sites and temples,Suryabinayak Municipality,To prioritize,Master inventory researched,
81,Bagmati Province,Bhaktapur,Siddha Pokhari,Lakes and wetlands,Bhaktapur Municipality,To prioritize,Master inventory researched,
82,Bagmati Province,Bhaktapur,Nagarkot,Viewpoints and hill stations,Changunarayan Municipality,To prioritize,Master inventory researched,Cross-district ridge with Kavrepalanchok.
83,Bagmati Province,Bhaktapur,Pilot Baba Ashram viewpoint,Viewpoints and hill stations,Suryabinayak area,To prioritize,Master inventory researched,
84,Bagmati Province,Lalitpur,Patan Durbar Square,Historical and cultural places,Lalitpur Metropolitan City,To prioritize,Master inventory researched,
85,Bagmati Province,Lalitpur,Patan Museum,"Museums, palaces, forts, and monuments",Patan Durbar Square,To prioritize,Master inventory researched,
86,Bagmati Province,Lalitpur,Hiranya Varna Mahavihar,Religious sites and temples,Patan,To prioritize,Master inventory researched,
87,Bagmati Province,Lalitpur,Mahaboudha Temple,Religious sites and temples,Patan,To prioritize,Master inventory researched,
88,Bagmati Province,Lalitpur,Kumbeshwar Temple,Religious sites and temples,Patan,To prioritize,Master inventory researched,
89,Bagmati Province,Lalitpur,Bajrabarahi Temple and forest,Religious sites and temples,Godawari Municipality,To prioritize,Master inventory researched,
90,Bagmati Province,Lalitpur,Tika Bhairab and Lele valley,Religious sites and temples,Godawari Municipality,To prioritize,Master inventory researched,
91,Bagmati Province,Lalitpur,Karya Binayak Temple,Religious sites and temples,Bungamati area,To prioritize,Master inventory researched,
92,Bagmati Province,Lalitpur,Bungamati heritage village,Community tourism and notable villages,Lalitpur Metropolitan City,To prioritize,Master inventory researched,
93,Bagmati Province,Lalitpur,Khokana heritage village,Community tourism and notable villages,Lalitpur Metropolitan City,To prioritize,Master inventory researched,
94,Bagmati Province,Lalitpur,Godavari Botanical Garden,Natural attractions,Godawari Municipality,To prioritize,Master inventory researched,
95,Bagmati Province,Lalitpur,Phulchowki hill,Viewpoints and hill stations,Godawari Municipality,To prioritize,Master inventory researched,
96,Bagmati Province,Lalitpur,Lakuri Bhanjyang,Viewpoints and hill stations,Mahalaxmi Municipality,To prioritize,Master inventory researched,
97,Bagmati Province,Lalitpur,Nag Daha,Lakes and wetlands,"Dhapakhel, Lalitpur",To prioritize,Master inventory researched,
98,Bagmati Province,Kavrepalanchok,Namo Buddha,Religious sites and temples,Namobuddha Municipality,To prioritize,Master inventory researched,
99,Bagmati Province,Kavrepalanchok,Indreshwar Mahadev Temple,Religious sites and temples,Panauti,To prioritize,Master inventory researched,
100,Bagmati Province,Kavrepalanchok,Palanchok Bhagwati Temple,Religious sites and temples,Panchkhal area,To prioritize,Master inventory researched,
101,Bagmati Province,Kavrepalanchok,Panauti heritage town,Historical and cultural places,Panauti Municipality,To prioritize,Master inventory researched,
102,Bagmati Province,Kavrepalanchok,Banepa old town and Chandeshwari Temple,Historical and cultural places,Banepa Municipality,To prioritize,Master inventory researched,
103,Bagmati Province,Kavrepalanchok,Dhulikhel viewpoints,Viewpoints and hill stations,Dhulikhel Municipality,To prioritize,Master inventory researched,
104,Bagmati Province,Kavrepalanchok,Nagarkot eastern ridge,Viewpoints and hill stations,Banepa/Mandan Deupur side,To prioritize,Master inventory researched,Cross-district ridge with Bhaktapur.
105,Bagmati Province,Kavrepalanchok,Bethanchok Narayanthan,Viewpoints and hill stations,Bethanchok Rural Municipality,To prioritize,Master inventory researched,
106,Bagmati Province,Kavrepalanchok,Balthali village,Community tourism and notable villages,Panauti Municipality,To prioritize,Master inventory researched,
107,Bagmati Province,Kavrepalanchok,Namo Buddha-Dhulikhel-Panauti hiking circuit,Trekking areas and mountain destinations,Central Kavre,To prioritize,Master inventory researched,
108,Bagmati Province,Kavrepalanchok,Tindhare Waterfall,Rivers and waterfalls,Roshib area,To prioritize,Master inventory researched,
109,Bagmati Province,Kavrepalanchok,Kushadevi and Roshi valley,Natural attractions,Panauti-Roshi region,To prioritize,Master inventory researched,
110,Bagmati Province,Sindhuli,Sindhuligadhi Fort,"Museums, palaces, forts, and monuments",Kamalamai Municipality,To prioritize,Master inventory researched,
111,Bagmati Province,Sindhuli,Hariharpurgadhi,"Museums, palaces, forts, and monuments",Hariharpurgadhi Rural Municipality,To prioritize,Master inventory researched,
112,Bagmati Province,Sindhuli,Sindhuligadhi viewpoint,Viewpoints and hill stations,Kamalamai Municipality,To prioritize,Master inventory researched,
113,Bagmati Province,Sindhuli,Phikkal hill viewpoints,Viewpoints and hill stations,Phikkal Rural Municipality,To prioritize,Master inventory researched,
114,Bagmati Province,Sindhuli,Kusheshwar Dumja,Religious sites and temples,Sunkoshi Rural Municipality,To prioritize,Master inventory researched,
115,Bagmati Province,Sindhuli,Kamala River valley,Rivers and waterfalls,Eastern Sindhuli,To prioritize,Master inventory researched,
116,Bagmati Province,Sindhuli,Sunkoshi rafting corridor,Rivers and waterfalls,Northern boundary,To prioritize,Master inventory researched,
117,Bagmati Province,Sindhuli,Marin valley,Natural attractions,Marin Rural Municipality,To prioritize,Master inventory researched,
118,Bagmati Province,Sindhuli,Junaar orchards and village routes,Community tourism and notable villages,Sindhuli highlands,To prioritize,Master inventory researched,
119,Bagmati Province,Ramechhap,Sailung,Viewpoints and hill stations,Doramba Sailung Rural Municipality,To prioritize,Master inventory researched,Cross-district ridge with Dolakha.
120,Bagmati Province,Ramechhap,Sunapati hill,Viewpoints and hill stations,Sunapati Rural Municipality,To prioritize,Master inventory researched,
121,Bagmati Province,Ramechhap,Khadadevi Temple,Religious sites and temples,Khadadevi Rural Municipality,To prioritize,Master inventory researched,
122,Bagmati Province,Ramechhap,Doramba memorial and cultural village,Historical and cultural places,Doramba Sailung,To prioritize,Master inventory researched,
123,Bagmati Province,Ramechhap,Manthali-Tamakoshi river landscape,Rivers and waterfalls,Manthali Municipality,To prioritize,Master inventory researched,
124,Bagmati Province,Ramechhap,Likhu River valley,Rivers and waterfalls,Eastern Ramechhap,To prioritize,Master inventory researched,
125,Bagmati Province,Ramechhap,Jatapokhari and Panchpokhari trekking area,Lakes and wetlands,Umakunda Rural Municipality,To prioritize,Master inventory researched,Remote alpine lake system; local route verification needed.
126,Bagmati Province,Ramechhap,Numbur Cheese Circuit,Trekking areas and mountain destinations,Umakunda/Gumdel region,To prioritize,Master inventory researched,
127,Bagmati Province,Ramechhap,Bamti Bhandar and Gumdel villages,Community tourism and notable villages,Northern Ramechhap,To prioritize,Master inventory researched,
128,Bagmati Province,Ramechhap,Khimti valley,Natural attractions,Eastern Ramechhap,To prioritize,Master inventory researched,
129,Bagmati Province,Makwanpur,Daman,Viewpoints and hill stations,Thaha Municipality,To prioritize,Master inventory researched,
130,Bagmati Province,Makwanpur,Sim Bhanjyang,Viewpoints and hill stations,Thaha Municipality,To prioritize,Master inventory researched,
131,Bagmati Province,Makwanpur,Kanti Rajpath hill viewpoints,Viewpoints and hill stations,Northern Makwanpur,To prioritize,Master inventory researched,
132,Bagmati Province,Makwanpur,Kulekhani Reservoir / Indra Sarovar,Lakes and wetlands,Indrasarowar Rural Municipality,To prioritize,Master inventory researched,
133,Bagmati Province,Makwanpur,Chitlang village,Community tourism and notable villages,Thaha Municipality,To prioritize,Master inventory researched,
134,Bagmati Province,Makwanpur,Markhu,Community tourism and notable villages,Indrasarowar Rural Municipality,To prioritize,Master inventory researched,
135,Bagmati Province,Makwanpur,"Bajrabarahi Temple, Thaha",Religious sites and temples,Thaha Municipality,To prioritize,Master inventory researched,
136,Bagmati Province,Makwanpur,Bhimphedi heritage town,Historical and cultural places,Bhimphedi Rural Municipality,To prioritize,Master inventory researched,
137,Bagmati Province,Makwanpur,Makwanpurgadhi Fort,"Museums, palaces, forts, and monuments",Makwanpurgadhi Rural Municipality,To prioritize,Master inventory researched,
138,Bagmati Province,Makwanpur,Chisapani Gadhi,"Museums, palaces, forts, and monuments",Bhimphedi region,To prioritize,Master inventory researched,
139,Bagmati Province,Makwanpur,Parsa National Park sector,"National parks, conservation areas, and wildlife sites",Southern Makwanpur,To prioritize,Master inventory researched,Cross-district park.
140,Bagmati Province,Chitwan,Chitwan National Park,"National parks, conservation areas, and wildlife sites",Southern Chitwan,To prioritize,Master inventory researched,UNESCO World Heritage national park.
141,Bagmati Province,Chitwan,Bish Hajari birdwatching forests,"National parks, conservation areas, and wildlife sites",Buffer-zone landscape,To prioritize,Master inventory researched,
142,Bagmati Province,Chitwan,Sauraha,Major tourist attractions,Ratnanagar Municipality,To prioritize,Master inventory researched,
143,Bagmati Province,Chitwan,Beeshazar and Associated Lakes,Lakes and wetlands,Bharatpur Metropolitan City,To prioritize,Master inventory researched,Ramsar wetland complex.
144,Bagmati Province,Chitwan,Narayani River waterfront,Rivers and waterfalls,Bharatpur and western Chitwan,To prioritize,Master inventory researched,
145,Bagmati Province,Chitwan,Rapti River wildlife corridor,Rivers and waterfalls,Sauraha and park boundary,To prioritize,Master inventory researched,
146,Bagmati Province,Chitwan,Jalbire Waterfall,Rivers and waterfalls,Ichchhakamana Rural Municipality,To prioritize,Master inventory researched,
147,Bagmati Province,Chitwan,Devghat,Religious sites and temples,Bharatpur/Devghat confluence area,To prioritize,Master inventory researched,Cross-district pilgrimage site with Tanahun.
148,Bagmati Province,Chitwan,Balmiki Ashram approach,Religious sites and temples,Madi/park southern sector,To prioritize,Master inventory researched,Access and district attribution should be checked for publishing.
149,Bagmati Province,Chitwan,Chepang Hill Trail,Trekking areas and mountain destinations,Northern Chitwan,To prioritize,Master inventory researched,
150,Bagmati Province,Chitwan,Siraichuli viewpoint,Viewpoints and hill stations,Ichchhakamana Rural Municipality,To prioritize,Master inventory researched,
151,Bagmati Province,Chitwan,Upper Dang Gadhi,"Museums, palaces, forts, and monuments",Northern Chitwan,To prioritize,Master inventory researched,
152,Bagmati Province,Chitwan,Meghauli wildlife tourism area,Community tourism and notable villages,Bharatpur western sector,To prioritize,Master inventory researched,
153,Bagmati Province,Chitwan,Madi valley and Someshwar hills,Natural attractions,Madi Municipality,To prioritize,Master inventory researched,
