index,province,district,place_name,category,municipality_or_area,priority,research_status,notes
19,Koshi Province,Bhojpur,Maluwa Pokhari,Lake and natural attraction,Temkemaiyung Rural Municipality,Emerging,First-round researched,
20,Koshi Province,Bhojpur,Ramchandra Temple,Religious site,Shadananda Municipality,High,First-round researched,
21,Koshi Province,Bhojpur,Rawa Dhap,Highland wetland and Mundhum Trail stop,Northern Bhojpur,High,First-round researched,
22,Koshi Province,Bhojpur,Sahid Samadhi Sthal,Memorial and historical site,Hatuwagadhi Rural Municipality,Local/Emerging,First-round researched,
23,Koshi Province,Bhojpur,Salpa Bhanjyang,Mountain pass and trekking stop,Salpasilichho Rural Municipality,High,First-round researched,
24,Koshi Province,Bhojpur,Sawa Waterfall,Waterfall,Temkemaiyung Rural Municipality,Emerging,First-round researched,
25,Koshi Province,Bhojpur,Selme Danda,"Hill, viewpoint and hiking area",Temkemaiyung Rural Municipality,Emerging,First-round researched,
26,Koshi Province,Bhojpur,Shila Sutkeri,Geological or culturally significant site,Hatuwagadhi Rural Municipality,Emerging,First-round researched,
27,Koshi Province,Bhojpur,Siddhakali Temple,Religious site,Bhojpur Municipality,High,First-round researched,
28,Koshi Province,Bhojpur,Suntale Danda,Viewpoint,Bhojpur Municipality Ward 3 area,High,First-round researched,
29,Koshi Province,Bhojpur,Taksar Bazaar,Historical and cultural settlement,Bhojpur Municipality,High,First-round researched,
30,Koshi Province,Bhojpur,Tawa Bhanjyang,Viewpoint and trekking location,Temkemaiyung Rural Municipality,High,First-round researched,
31,Koshi Province,Dhankuta,Bhedetar,Hill station and viewpoint,Sangurigadhi Rural Municipality,Major,First-round researched,
32,Koshi Province,Dhankuta,Charles Point,Viewpoint,"Bhedetar, Sangurigadhi Rural Municipality",Major,First-round researched,
33,Koshi Province,Dhankuta,Hile Bazaar,Hill town and cultural market,Dhankuta Municipality,Major,First-round researched,
34,Koshi Province,Dhankuta,Kopche Heritage Trail,Heritage walking route,Dhankuta Bazaar,Major,First-round researched,
35,Koshi Province,Dhankuta,Namaste Jharana,Waterfall,Sangurigadhi Rural Municipality,Major,First-round researched,
36,Koshi Province,Dhankuta,Namje Village,Cultural village and community tourism,Sangurigadhi Rural Municipality–6,Major,First-round researched,
37,Koshi Province,Dhankuta,Namje–Thumki Community Homestay,Community homestay and Magar culture,Sangurigadhi Rural Municipality–6,Major,First-round researched,
38,Koshi Province,Dhankuta,Rajarani Wetland,Wetland and biodiversity,Chaubise Rural Municipality,Major,First-round researched,
39,Koshi Province,Dhankuta,Rani Tal / Rani Lake,"Lake, wetland and birdwatching",Chaubise Rural Municipality,Major,First-round researched,
40,Koshi Province,Dhankuta,Aathpahariya Baunna Chulo Ghar,Indigenous cultural heritage,Dhankuta Municipality,High,First-round researched,
41,Koshi Province,Dhankuta,Banjhakri Park,Cultural park,Mahalaxmi Municipality,High,First-round researched,
42,Koshi Province,Dhankuta,Chintang Devi Temple,Religious site,Chhathar Jorpati area,High,First-round researched,
43,Koshi Province,Dhankuta,Chuliban View Tower,Viewpoint,Dhankuta Municipality,High,First-round researched,
44,Koshi Province,Dhankuta,Dhankuta Bazaar,Historical hill town,Dhankuta Municipality,High,First-round researched,
45,Koshi Province,Dhankuta,Jitpur Bazaar,Historical market settlement,Mahalaxmi Municipality,High,First-round researched,
46,Koshi Province,Dhankuta,Kopche Heritage Settlement,Historical neighbourhood and community tourism,Dhankuta Municipality,High,First-round researched,
47,Koshi Province,Dhankuta,Latibhanjyang Shiva Statue,Religious site and viewpoint,Mahalaxmi Municipality,High,First-round researched,
48,Koshi Province,Dhankuta,Leguwa–Arun River Confluence Area,River scenery,Mahalaxmi Municipality,High,First-round researched,
49,Koshi Province,Dhankuta,Nageshwar Temple,Religious site,"Leguwa, Mahalaxmi Municipality",High,First-round researched,
50,Koshi Province,Dhankuta,Pakhribas Agricultural Research Centre,Agro-tourism and education,Pakhribas Municipality,High,First-round researched,
51,Koshi Province,Dhankuta,Pakhribas Bazaar,Scenic hill town,Pakhribas Municipality,High,First-round researched,
52,Koshi Province,Dhankuta,Pathibhara Temple near Hile,Religious and pilgrimage site,Hile area,High,First-round researched,
53,Koshi Province,Dhankuta,Rajarani Valley,Valley landscape and cultural destination,Chaubise Rural Municipality,High,First-round researched,
54,Koshi Province,Dhankuta,Sadam Tourism Area,Rural nature destination,Chaubise Rural Municipality Ward 5,Emerging,First-round researched,
55,Koshi Province,Dhankuta,Syaule–Sipting Aathpahariya Community Homestay,Community and Indigenous cultural tourism,Dhankuta Municipality Ward 3,High,First-round researched,
56,Koshi Province,Dhankuta,Thumki Hill,Viewpoint and village hike,Sangurigadhi Rural Municipality,High,First-round researched,
57,Koshi Province,Ilam,Antu Danda,Sunrise viewpoint,Suryodaya Municipality,Major,First-round researched,
58,Koshi Province,Ilam,Chhintapu,Trekking peak and wildlife area,Sandakpur Rural Municipality,Major,First-round researched,
59,Koshi Province,Ilam,Didi Bahini Jharana,Waterfall,Rong Rural Municipality,Major,First-round researched,
60,Koshi Province,Ilam,Fensong Gumba,Buddhist monastery and Lepcha heritage,Suryodaya Municipality,Major,First-round researched,
61,Koshi Province,Ilam,Gajurmukhi Dham,Cave-temple and religious destination,Western Ilam,Major,First-round researched,
62,Koshi Province,Ilam,Ilam Tea Factory,Industrial heritage and tea tourism,Ilam Municipality,Major,First-round researched,
63,Koshi Province,Ilam,Kanyam Tea Garden,Tea landscape and agro-tourism,Suryodaya Municipality,Major,First-round researched,
64,Koshi Province,Ilam,Lepcha Museum at Fensong Gumba,Indigenous cultural museum,Suryodaya Municipality,Major,First-round researched,
65,Koshi Province,Ilam,Mai Pokhari,Ramsar wetland and sacred lake,Sandakpur Rural Municipality,Major,First-round researched,
66,Koshi Province,Ilam,Mangmalung,"Kirat religious, forest and cave destination",Mangsebung area,Major,First-round researched,
67,Koshi Province,Ilam,Meghma,Border-ridge trekking and monastery destination,Maijogmai corridor,Major,First-round researched,
68,Koshi Province,Ilam,Patenagi,Viewpoint and red panda habitat,Rong Rural Municipality,Major,First-round researched,
69,Koshi Province,Ilam,Sandakpur,Mountain viewpoint and trekking destination,Sandakpur Rural Municipality,Major,First-round researched,
70,Koshi Province,Ilam,Sanu Pathibhara Temple,Religious site and viewpoint,Kutidanda–Hanspokhari area,Major,First-round researched,
71,Koshi Province,Ilam,Shree Antu,Rural tourism and homestay destination,Suryodaya Municipality,Major,First-round researched,
72,Koshi Province,Ilam,Siddhithumka Chuli,Sunrise viewpoint,Deumai Municipality,Major,First-round researched,
73,Koshi Province,Ilam,Antu Pokhari,Lake and recreation,Suryodaya Municipality,High,First-round researched,
74,Koshi Province,Ilam,Fikkal Bazaar,Tourism gateway,Suryodaya Municipality,High,First-round researched,
75,Koshi Province,Ilam,Google Point,Viewpoint,Rong Rural Municipality–3,High,First-round researched,
76,Koshi Province,Ilam,Gufathumki,Cave and hill destination,Deumai Municipality,High,First-round researched,
77,Koshi Province,Ilam,Ilam Bazaar,Historical hill town,Ilam Municipality,High,First-round researched,
78,Koshi Province,Ilam,Jaubari,Hill settlement and trekking stop,Maijogmai Rural Municipality,High,First-round researched,
79,Koshi Province,Ilam,Jhau Pokhari,Pond and recreation,Deumai Municipality Ward 8,High,First-round researched,
80,Koshi Province,Ilam,Kuibhir Tourism Area,Cliff and viewpoint,Deumai Municipality Ward 1,High,First-round researched,
81,Koshi Province,Ilam,Kuinetar Omkareshwar Temple,Religious and natural tourism,Chulachuli Rural Municipality,High,First-round researched,
82,Koshi Province,Ilam,Mahabhir Rock Climbing Area,Adventure tourism,Rong Rural Municipality,High,First-round researched,
83,Koshi Province,Ilam,Mai Beni,River confluence and pilgrimage site,Near Ilam Bazaar,High,First-round researched,
84,Koshi Province,Ilam,Namsaling Village,Community and rural tourism,Maijogmai Rural Municipality,High,First-round researched,
85,Koshi Province,Ilam,Nayabazar,Historic hill market,Maijogmai Rural Municipality,High,First-round researched,
86,Koshi Province,Ilam,Panchakanya Tourism Area,Tea landscape and rural destination,Suryodaya Municipality,High,First-round researched,
87,Koshi Province,Ilam,Pashupatinagar,Border town and cultural market,Suryodaya Municipality,High,First-round researched,
88,Koshi Province,Ilam,"Ramite Danda, Sakphara",Viewpoint,Chulachuli Rural Municipality,High,First-round researched,
89,Koshi Province,Ilam,Rani Forest,Forest walk,Suryodaya Municipality,High,First-round researched,
90,Koshi Province,Ilam,Siddhi Thumka,Sunrise and sunset viewpoint,Ilam Municipality area,High,First-round researched,
91,Koshi Province,Ilam,Suryodaya Tea Tasting and Promotion Centre,Tea culture and agro-tourism,Suryodaya Municipality,High,First-round researched,
92,Koshi Province,Ilam,Three-tier Waterfall,Waterfall,Suryodaya Municipality,High,First-round researched,
93,Koshi Province,Ilam,Tinkune Pokhari,Pond and wetland,Chulachuli Rural Municipality,High,First-round researched,
94,Koshi Province,Jhapa,Arjundhara Jaleshwar Dham,Hindu pilgrimage site,Arjundhara Municipality,Major,First-round researched,
95,Koshi Province,Jhapa,Bahundangi Elephant Corridor,Wildlife and eco-tourism landscape,Bahundangi,Major,First-round researched,
96,Koshi Province,Jhapa,Domukha Tourism Area,Riverbank recreation,Shivasatakshi Municipality,Major,First-round researched,
97,Koshi Province,Jhapa,Jamunkhadi Simsar,"Wetland, wildlife and recreation",Kankai Municipality,Major,First-round researched,
98,Koshi Province,Jhapa,Kakarbhitta Border Gate,International border gateway,Mechinagar Municipality,Major,First-round researched,
99,Koshi Province,Jhapa,Kankai Dham / Kotihom,Hindu pilgrimage complex,Kankai Municipality,Major,First-round researched,
100,Koshi Province,Jhapa,Kechana Kawal,Geographical landmark and wetland landscape,Kachankawal Rural Municipality,Major,First-round researched,
101,Koshi Province,Jhapa,Kichakbadh Archaeological Site,Archaeological and mythological site,Bhadrapur area,Major,First-round researched,
102,Koshi Province,Jhapa,Mini Mountain Bahundangi,Viewpoint,Mechinagar Municipality,Major,First-round researched,
103,Koshi Province,Jhapa,Satakshi Dham,Hindu pilgrimage and forest attraction,Shivasatakshi Municipality,Major,First-round researched,
104,Koshi Province,Jhapa,Bhelagudi Wetland,Wetland and picnic destination,Haldibari Rural Municipality,High,First-round researched,
105,Koshi Province,Jhapa,Birat Pokhari,Historical pond,Birtamod area,High,First-round researched,
106,Koshi Province,Jhapa,Burney Tea Estate,Tea landscape,Buddhashanti Rural Municipality,High,First-round researched,
107,Koshi Province,Jhapa,Chillagadh,Historical and cultural heritage,Shivasatakshi Municipality,High,First-round researched,
108,Koshi Province,Jhapa,Damak Tourism Park / Birat Buddha Village,Developing Buddhist tourism project,Damak,Developing,First-round researched,
109,Koshi Province,Jhapa,Dhanushkoti Dham,Religious and mythological site,Kankai–Domukha area,High,First-round researched,
110,Koshi Province,Jhapa,Dharagola View Tower,Viewpoint,Buddhashanti Rural Municipality Ward 7,High,First-round researched,
111,Koshi Province,Jhapa,Dhulabari Tea Estate,Tea garden,Mechinagar Municipality,High,First-round researched,
112,Koshi Province,Jhapa,Gauradaha Dah Pokhari,Historic pond,Gauradaha Municipality,High,First-round researched,
113,Koshi Province,Jhapa,Kechana Jhil,Lake and wetland,Kachankawal Rural Municipality,High,First-round researched,
114,Koshi Province,Jhapa,Mahendra Park,Urban park,Bhadrapur Municipality,High,First-round researched,
115,Koshi Province,Jhapa,Pau Pathibhara Temple,Religious site and viewpoint,"Charali, Mechinagar",High,First-round researched,
116,Koshi Province,Jhapa,Salbari Park,Forest park,Arjundhara Municipality,High,First-round researched,
117,Koshi Province,Khotang,Baraha Pokhari,Sacred lake and pilgrimage,Barahapokhari Rural Municipality,Major,First-round researched,
118,Koshi Province,Khotang,Dhiplung Waterfall,Waterfall,Diprung Chuichumma Rural Municipality,Major,First-round researched,
119,Koshi Province,Khotang,Halesi Cave Complex,Multi-faith sacred cave system,Halesi Tuwachung Municipality,Major,First-round researched,
120,Koshi Province,Khotang,Halesi Mahadev Temple,Hindu pilgrimage and sacred cave,Halesi Tuwachung Municipality,Major,First-round researched,
121,Koshi Province,Khotang,Jantedhunga,Historical and cultural hill,Jantedhunga Rural Municipality,Major,First-round researched,
122,Koshi Province,Khotang,Kepilasgadhi Fort,Historical fort,Kepilasgadhi Rural Municipality,Major,First-round researched,
123,Koshi Province,Khotang,Majhuwagadhi,Historical fort and viewpoint,Diktel Rupakot Majhuwagadhi Municipality,Major,First-round researched,
124,Koshi Province,Khotang,Maratika Cave,Buddhist pilgrimage cave,Halesi area,Major,First-round researched,
125,Koshi Province,Khotang,Rupakot Danda,Hill viewpoint and religious site,Diktel Rupakot Majhuwagadhi Municipality,Major,First-round researched,
126,Koshi Province,Khotang,Tuwachung–Jayajum Hill,Kirat sacred site and viewpoint,Halesi Tuwachung Municipality,Major,First-round researched,
127,Koshi Province,Khotang,Bhulbhule Dudhkunda Deudham,Sacred spring and pilgrimage,Nerpa Ward 6,High,First-round researched,
128,Koshi Province,Khotang,Indrani Pokhari,Sacred pond and Kirat site,Khotehang Rural Municipality Ward 6,High,First-round researched,
129,Koshi Province,Khotang,Kangsahop Lake,Artificial lake and boating,Kharmi–Bhangedar Ward 11,Emerging/High,First-round researched,
130,Koshi Province,Khotang,Lakuchumbu Waterfall,Waterfall,Khotehang Rural Municipality Ward 3,High,First-round researched,
131,Koshi Province,Khotang,Mahuregadhi,Historical fort and viewpoint,Diktel Rupakot Majhuwagadhi Municipality,High,First-round researched,
132,Koshi Province,Khotang,Paruhang–Sumnima Park,Kirat religious and cultural park,Khotehang Rural Municipality Ward 5,High,First-round researched,
133,Koshi Province,Khotang,Sapsudhapa,Religious and natural site,Diktel Rupakot Majhuwagadhi Municipality,High,First-round researched,
134,Koshi Province,Khotang,Soldhunga Tourism Area,Rock formation and viewpoint,Khotehang Rural Municipality,High,First-round researched,
135,Koshi Province,Khotang,Yalambar Park,Kirat cultural park,Khotehang Rural Municipality Ward 2,High,First-round researched,
136,Koshi Province,Morang,Betana Wetland,"Wetland, wildlife and boating",Belbari Municipality,Major,First-round researched,
137,Koshi Province,Morang,Betini Wetland,Wetland and birdwatching,Urlabari Municipality,Major,First-round researched,
138,Koshi Province,Morang,Bhulke Wetland,Wetland and eco-tourism,Pathari Shanishchare Municipality,Major,First-round researched,
139,Koshi Province,Morang,Birat Palace Archaeological Site / Bhediyari Dhisko,Archaeological and historical site,Biratnagar–18,Major,First-round researched,
140,Koshi Province,Morang,Dhanpalgadhi,Historical fort and Tharu religious site,Belbari Municipality,Major,First-round researched,
141,Koshi Province,Morang,Hasina Wetland / Hasina Simsar,Wetland and recreation,Sundarharaicha Municipality Ward 5,Major,First-round researched,
142,Koshi Province,Morang,Jefale Danda,Hill station and viewpoint,Kerabari Rural Municipality,Major,First-round researched,
143,Koshi Province,Morang,Kanepokhari Lake,Lake and recreation,Kanepokhari Rural Municipality,Major,First-round researched,
144,Koshi Province,Morang,Rajarani Pond,Sacred pond and Dhimal heritage,Letang Municipality Ward 1,Major,First-round researched,
145,Koshi Province,Morang,Baghjhora,Forest and stream destination,Sundarharaicha Municipality,High,First-round researched,
146,Koshi Province,Morang,Biratnagar Jute Mills,Industrial and political heritage,Biratnagar,Major heritage potential,First-round researched,
147,Koshi Province,Morang,Interfaith Peace Park,Religious harmony park,Letang Municipality Ward 1,High,First-round researched,
148,Koshi Province,Morang,Jhalajhali Wetland,Wetland,Belbari Municipality,High,First-round researched,
149,Koshi Province,Morang,Kali Mandir,Hindu religious site,Biratnagar,High,First-round researched,
150,Koshi Province,Morang,Lampate Wetland,Wetland,Urlabari Municipality,High,First-round researched,
151,Koshi Province,Morang,Raniban Eco-tourism Area,Forest and eco-tourism,Letang Municipality,High,First-round researched,
152,Koshi Province,Morang,Sunawarshi Pond,Sacred pond and Indigenous culture,Ratuwamai Municipality Ward 5,High,First-round researched,
153,Koshi Province,Okhaldhunga,Champadevi Temple,Hindu pilgrimage and hill destination,Champadevi Rural Municipality,Major,First-round researched,
154,Koshi Province,Okhaldhunga,Khiji Tholedemba,High-altitude viewpoint and trekking,Khijidemba Rural Municipality,Major,First-round researched,
155,Koshi Province,Okhaldhunga,Libju Religious Site,Kirat sacred site,Manebhanjyang Rural Municipality,Major,First-round researched,
156,Koshi Province,Okhaldhunga,Patale Viewpoint,Himalayan viewpoint,Northern Okhaldhunga,Major,First-round researched,
157,Koshi Province,Okhaldhunga,Pokali Waterfall,Waterfall,Likhu Rural Municipality,Major,First-round researched,
158,Koshi Province,Okhaldhunga,Ratmate Waterfall,Waterfall,Chisankhugadhi Rural Municipality,Major,First-round researched,
159,Koshi Province,Okhaldhunga,Chandi Devi Temple and Chandisthan Cave,Temple and sacred cave,"Ragani, Champadevi Rural Municipality",High,First-round researched,
160,Koshi Province,Okhaldhunga,Chisankhugadhi,Historical fort,Chisankhugadhi Rural Municipality,High,First-round researched,
161,Koshi Province,Okhaldhunga,Okhaldhunga Gadhi,Historical fort,Siddhicharan area,High,First-round researched,
162,Koshi Province,Okhaldhunga,Prapcha Tourism Park,Developing recreation site,Molung Rural Municipality Ward 3,Developing,First-round researched,
163,Koshi Province,Okhaldhunga,Rumjatar,Highland settlement and gateway,Siddhicharan Municipality,High,First-round researched,
164,Koshi Province,Okhaldhunga,Siddhicharan Shrestha Birthplace Area,Literary heritage,Okhaldhunga Bazaar,High,First-round researched,
165,Koshi Province,Okhaldhunga,Srijana / Srasta Park,Literary memorial park,Siddhicharan Municipality,High,First-round researched,
166,Koshi Province,Okhaldhunga,Tolu Gumba,Buddhist monastery,Jantarkhani area,High,First-round researched,
167,Koshi Province,Panchthar,Chiwabhanjyang,Border pass and viewpoint,Yangwarak Rural Municipality,Major,First-round researched,
168,Koshi Province,Panchthar,Hilihang Palace,Historical palace and viewpoint,Hilihang Rural Municipality,Major,First-round researched,
169,Koshi Province,Panchthar,Kummayak–Kussayak,Kirat sacred and historical site,Kummayak Rural Municipality,Major,First-round researched,
170,Koshi Province,Panchthar,Labrekuti–Silauti,Kirat pilgrimage and historical site,Phidim–Phalgunanda border,Major,First-round researched,
171,Koshi Province,Panchthar,Mahaguru Phalgunanda Mausoleum,Religious memorial,Silauti–Labrekuti,Major,First-round researched,
172,Koshi Province,Panchthar,Phalot,High-altitude meadow and viewpoint,Phalelung Rural Municipality,Major,First-round researched,
173,Koshi Province,Panchthar,Phokte Danda,Himalayan viewpoint,Phalelung Rural Municipality,Major,First-round researched,
174,Koshi Province,Panchthar,Sadhutar,Hill viewpoint and pond,Phidim Municipality Ward 8,Major,First-round researched,
175,Koshi Province,Panchthar,Sehonamlang,Mundhumi sacred hill and caves,Phalgunanda Rural Municipality,Major,First-round researched,
176,Koshi Province,Panchthar,Sumhatlung,Kirat sacred and historical site,Phidim Municipality,Major,First-round researched,
177,Koshi Province,Panchthar,Timbu Pokhari,Sacred alpine lake and trek,Yangwarak Rural Municipality,Major,First-round researched,
178,Koshi Province,Panchthar,Aagejung Monastery,Historic Buddhist monastery,Phalelung Rural Municipality Ward 1,High,First-round researched,
179,Koshi Province,Panchthar,Battise Waterfall,Waterfall,Phalgunanda Rural Municipality Ward 2,High,First-round researched,
180,Koshi Province,Panchthar,Bhote Gadhi,Historical fort,Yangwarak Rural Municipality,High,First-round researched,
181,Koshi Province,Panchthar,Gumse Pathibhara,Religious site and viewpoint,Yangwarak Rural Municipality,High,First-round researched,
182,Koshi Province,Panchthar,Gupteshwar Mahadev,Sacred cave,Yangwarak Rural Municipality,High,First-round researched,
183,Koshi Province,Panchthar,Hile Pokhari,Pond and wetland,Miklajung Rural Municipality,High,First-round researched,
184,Koshi Province,Panchthar,Jor Pokhari,Twin sacred ponds,Hilihang Rural Municipality,High,First-round researched,
185,Koshi Province,Sankhuwasabha,Arun Valley,River valley and trekking landscape,Sankhuwasabha,Major,First-round researched,
186,Koshi Province,Sankhuwasabha,Barun Valley,Himalayan valley,Makalu Barun National Park,Major,First-round researched,
187,Koshi Province,Sankhuwasabha,Chhyankuti Danda,Himalayan viewpoint,Khandbari area,Major,First-round researched,
188,Koshi Province,Sankhuwasabha,Gupha Pokhari,Highland lake and viewpoint,Chainpur Municipality Ward 1,Major,First-round researched,
189,Koshi Province,Sankhuwasabha,Kimathanka,Nepal–China border village,Bhotkhola Rural Municipality,Major,First-round researched,
190,Koshi Province,Sankhuwasabha,Makalu Barun National Park,National park and wildlife,Northern Sankhuwasabha,Major,First-round researched,
191,Koshi Province,Sankhuwasabha,Makalu Base Camp,High-altitude trekking destination,Makalu Rural Municipality,Major,First-round researched,
192,Koshi Province,Sankhuwasabha,Milke Danda,Rhododendron ridge and viewpoint,Chichila–Silichong,Major,First-round researched,
193,Koshi Province,Sankhuwasabha,Mount Makalu,Mountain and expedition destination,Makalu Rural Municipality,Major,First-round researched,
194,Koshi Province,Sankhuwasabha,Sabha Pokhari,Sacred alpine lake,Silichong Rural Municipality,Major,First-round researched,
195,Koshi Province,Sankhuwasabha,Shipton La,Mountain pass,Makalu Base Camp route,Major,First-round researched,
196,Koshi Province,Sankhuwasabha,Tinjure–Milke–Jaljale Corridor,Rhododendron conservation area,Chichila–Silichong,Major,First-round researched,
197,Koshi Province,Sankhuwasabha,Chainpur Gadhi,Historical fort,Chainpur Municipality,High,First-round researched,
198,Koshi Province,Sankhuwasabha,Chainpur Karuwa Park,Handicraft heritage park,Chainpur Municipality,High,First-round researched,
199,Koshi Province,Sankhuwasabha,Hedangna Gadhi,Historical fort,Northern Sankhuwasabha,High,First-round researched,
200,Koshi Province,Sankhuwasabha,Seduwa,National park gateway,Makalu Rural Municipality,High,First-round researched,
201,Koshi Province,Sankhuwasabha,Tashigaon,Sherpa village,Makalu Rural Municipality,High,First-round researched,
202,Koshi Province,Sankhuwasabha,Tumlingtar,Air gateway,Khandbari Municipality,Major gateway,First-round researched,
203,Koshi Province,Solukhumbu,Ama Dablam,Mountain and climbing destination,Khumbu,Major,First-round researched,
204,Koshi Province,Solukhumbu,Cho La Pass,High mountain pass,Three Passes Trek,Major,First-round researched,
205,Koshi Province,Solukhumbu,Dharmadanda,Viewpoint and sacred hill,Sotang–Thulung Dudhkoshi border,Major,First-round researched,
206,Koshi Province,Solukhumbu,Dingboche,Sherpa settlement and trekking hub,Imja Valley,Major,First-round researched,
207,Koshi Province,Solukhumbu,Dudhkunda Lake,Sacred alpine lake,Solududhkunda Municipality,Major,First-round researched,
208,Koshi Province,Solukhumbu,Everest Base Camp,High-altitude trekking destination,Khumbu Pasang Lhamu Rural Municipality,Major,First-round researched,
209,Koshi Province,Solukhumbu,Gokyo Lakes,Ramsar alpine lake system,Gokyo Valley,Major,First-round researched,
210,Koshi Province,Solukhumbu,Gokyo Ri,Himalayan viewpoint,Gokyo Valley,Major,First-round researched,
211,Koshi Province,Solukhumbu,Gorakshep,High-altitude settlement,Khumbu,Major,First-round researched,
212,Koshi Province,Solukhumbu,Hinku Valley,Himalayan valley,Mahakulung Rural Municipality,Major,First-round researched,
213,Koshi Province,Solukhumbu,Imja Tsho,Glacial lake,Imja Valley,Major,First-round researched,
214,Koshi Province,Solukhumbu,Island Peak / Imja Tse,Climbing peak,Imja Valley,Major,First-round researched,
215,Koshi Province,Solukhumbu,Junbesi Village,Sherpa cultural village,Solududhkunda Municipality,Major,First-round researched,
216,Koshi Province,Solukhumbu,Kala Patthar,Mountain viewpoint,Gorakshep area,Major,First-round researched,
217,Koshi Province,Solukhumbu,Khiraule Monastery,Historic Buddhist monastery,Mahakulung Rural Municipality,Major,First-round researched,
218,Koshi Province,Solukhumbu,Khumbu Glacier,Glacier,Everest Base Camp route,Major,First-round researched,
219,Koshi Province,Solukhumbu,Khumbu Icefall,Glacier feature,Everest expedition route,Major,First-round researched,
220,Koshi Province,Solukhumbu,Khumjung Village,Sherpa village and heritage,Khumbu,Major,First-round researched,
221,Koshi Province,Solukhumbu,Kongma La Pass,High mountain pass,Three Passes Trek,Major,First-round researched,
222,Koshi Province,Solukhumbu,Mera Peak,Trekking peak,Mahakulung Rural Municipality,Major,First-round researched,
223,Koshi Province,Solukhumbu,Mount Everest / Sagarmatha,Mountain and expedition destination,Khumbu Pasang Lhamu Rural Municipality,Major,First-round researched,
224,Koshi Province,Solukhumbu,Namche Bazaar,Sherpa town and trekking hub,Khumbu,Major,First-round researched,
225,Koshi Province,Solukhumbu,Ngozumpa Glacier,Glacier,Gokyo Valley,Major,First-round researched,
226,Koshi Province,Solukhumbu,"Panch Pokhari, Mahakulung",Sacred glacial lake cluster,Mahakulung Rural Municipality,Major,First-round researched,
227,Koshi Province,Solukhumbu,Pikey Peak,Himalayan viewpoint and trek,Likhu Pike area,Major,First-round researched,
228,Koshi Province,Solukhumbu,Renjo La Pass,High mountain pass,Three Passes Trek,Major,First-round researched,
229,Koshi Province,Solukhumbu,Sagarmatha National Park,UNESCO national park,Khumbu Pasang Lhamu Rural Municipality,Major,First-round researched,
230,Koshi Province,Solukhumbu,Taksindu Monastery,Historic Buddhist monastery,Solududhkunda Municipality,Major,First-round researched,
231,Koshi Province,Solukhumbu,Tengboche Monastery,Buddhist monastery,Tengboche,Major,First-round researched,
232,Koshi Province,Solukhumbu,Thupten Chholing Monastery,Buddhist monastery,Junbesi area,Major,First-round researched,
233,Koshi Province,Solukhumbu,Lukla,Air gateway,Khumbu Pasang Lhamu Rural Municipality,Major gateway,First-round researched,
234,Koshi Province,Solukhumbu,Pangboche Monastery and Village,Monastery and Sherpa settlement,Pangboche,High,First-round researched,
235,Koshi Province,Solukhumbu,Phaplu,Air gateway,Solududhkunda Municipality,Major gateway,First-round researched,
